0;639
0;652
0;644
0;642
0;644
0;631
0;640
0;638
0;628
0;627
0;626
0;613
0;603
0;562
0;588
0;592
0;614
0;619
0;613
0;630
0;638
0;629
0;626
0;640
0;633
0;644
0;654
0;660
0;664
0;647
0.2;634
0.2;650
0.2;648
0.2;640
0.2;639
0.2;628
0.2;640
0.2;630
0.2;625
0.2;624
0.2;627
0.2;615
0.2;611
0.2;608
0.2;601
0.2;599
0.2;612
0.2;620
0.2;611
0.2;631
0.2;631
0.2;626
0.2;635
0.2;635
0.2;631
0.2;646
0.2;645
0.2;653
0.2;655
0.2;650
0.4;629
0.4;643
0.4;642
0.4;639
0.4;640
0.4;636
0.4;636
0.4;634
0.4;627
0.4;630
0.4;626
0.4;614
0.4;611
0.4;598
0.4;595
0.4;597
0.4;608
0.4;615
0.4;606
0.4;620
0.4;624
0.4;616
0.4;626
0.4;631
0.4;618
0.4;639
0.4;637
0.4;643
0.4;646
0.4;641
0.6;617
0.6;631
0.6;633
0.6;631
0.6;636
0.6;628
0.6;638
0.6;631
0.6;620
0.6;630
0.6;620
0.6;605
0.6;604
0.6;564
0.6;576
0.6;586
0.6;590
0.6;614
0.6;597
0.6;615
0.6;619
0.6;614
0.6;619
0.6;624
0.6;612
0.6;631
0.6;625
0.6;628
0.6;635
0.6;634
0.8;610
0.8;626
0.8;626
0.8;619
0.8;628
0.8;623
0.8;631
0.8;629
0.8;616
0.8;624
0.8;617
0.8;602
0.8;597
0.8;568
0.8;575
0.8;583
0.8;570
0.8;610
0.8;578
0.8;611
0.8;619
0.8;607
0.8;613
0.8;620
0.8;602
0.8;623
0.8;619
0.8;619
0.8;631
0.8;620
1;595
1;621
1;622
1;611
1;625
1;623
1;623
1;621
1;612
1;619
1;616
1;597
1;576
1;564
1;566
1;576
1;566
1;552
1;574
1;605
1;617
1;589
1;638
1;618
1;597
1;617
1;611
1;608
1;619
1;615
0;568
0;589
0;587
0;576
0;572
0;569
0;572
0;570
0;582
0;586
0;583
0;580
0;595
0;601
0;575
0;584
0;585
0;577
0;575
0;591
0;564
0;577
0;584
0;574
0;564
0;571
0;564
0;569
0;575
0;576
